,ticker,cik
139,snap,1564408
140,antm,1156039
141,bidu,1329099
142,bp,313807
143,syk,310764
144,gm,1467858
145,frcoy,1446595
146,ci,1739940
147,isrg,1035267
148,spgi,64040
149,cni,16868
150,sbgsy,923734
151,mdlz,1103982
152,usb,36104
153,fisv,798354
154,gild,882095
155,lrcx,707549
156,tjx,109198
157,adp,8670
158,tfc,92230
159,infy,1067491
160,cta-pa,30554
161,mufg,67088
162,cpng,1834584
163,bns,9631
164,aiquy,1161167
165,bnpqy,310732
166,snp,1123658
167,beke,1809587
168,pstvy,1689565
169,hkxcy,1445476
170,pnc,713676
171,pld,1045609
172,fdx,1048911
173,enb,895728
174,kddiy,1106215
175,njdcy,1158967
176,zts,1555280
177,ntes,1110646
178,cme,1156375
179,byddy,1445162
180,meli,1099590
181,cb,896159
182,cci,1051470
183,duk,1326160
184,atvi,718877
185,shecy,1442651
186,cop,1163165
187,bdx,10795
188,itw,49826
189,csx,277948
190,atlky,748954
191,chgcy,1453934
192,bam,1001085
193,wbk,719245
194,esloy,1085922
195,nio,1736541
196,dell,1571996
197,nsc,702165
198,dnngy,1679771
199,abb,1091587
200,eqnr,1140625
201,hca,860730
202,cl,21665
203,so,92122
204,shw,89800
205,rbgly,1420798
206,ice,1571949
207,dkily,1446519
208,tak,1395064
209,vmw,1124610
210,wday,1327811
211,apd,2969
212,ilmn,1110803
213,safry,1364012
214,twlo,1447669
215,viac,813828
216,gpn,1123360
217,toely,1443276
218,vcisy,1065198
219,san,891478
220,mmc,62709
221,ecl,31462
222,d,715957
223,adsk,769397
224,eqix,1101239
225,bmo,927971
226,mrna,1682852
227,cof,927628
228,adi,6281
229,vrtx,875320
230,vlvly,753762
231,glncy,1524684
232,nxpi,1413447
233,scco,1001838
234,puk,1116578
235,pbr,1119639
236,stla,1605484
237,hmc,715153
238,ibn,1103838
239,team,1650372
240,smfg,1022837
241,cfruy,948401
242,ubs,1610520
243,met,1099219
244,bsx,885725
245,mraay,1450468
246,mco,1059556
247,csuay,1445470
248,emr,32604
249,etn,1551182
250,dnzoy,1446598
251,hum,49071
252,twtr,1418091
253,pgr,80661
254,vod,839923
255,wm,823768
256,olcly,1545460
257,chpxy,1528541
258,spot,1639920
259,phg,313216
260,noc,1133421
261,f,37996
262,fcx,831259
263,tme,1744676
264,bx,1393818
265,gd,40533
266,regn,872589
267,cp,16875
268,aon,315293
269,pdrdy,899108
270,nem,1164727
271,ew,1099800
272,mar,1048286
273,lnsty,1439584
274,epd,1061219
275,lvs,1300514
276,snow,1640147
277,race,1648416
278,bcmxy,1447011
279,khc,1637459
280,itocy,355363
281,kdp,1418135
282,ing,1039765
283,relx,929869
284,dow,1751788
285,mnst,865752
286,itub,1132597
287,hnnmy,1396282
288,fanuy,1446596
289,cvna,1690820
290,pins,1506293
291,amx,1129137
292,rkt,1805284
293,stz,16918
294,trp,1232384
295,danoy,1048515
296,ntoiy,1436791
297,cm,1045520
298,wba,1618921
299,eric,717826
300,klac,319201
301,dg,29534
302,jmhly,870016
303,roku,1428439
304,wfafy,1436381
305,pltr,1321655
306,bcs,312069
307,kmb,55785
308,vnja,1532383
309,abev,1565025
310,crwd,1535527
311,dash,1792789
312,lzagy,1446711
313,tri,1075124
314,rost,745732
315,jci,833444
316,e,1002242
317,tel,1385157
318,gld,1222333
319,mfc,1086888
320,crary,1279967
321,bce,718940
322,exc,1109357
323,algn,1097149
324,ngg,1004315
325,aep,4904
326,rop,882835
327,idxx,874716
328,dd,1666700
329,schyy,1491703
330,mtch,891103
331,knyjy,1436793
332,bax,10456
333,eog,821189
334,psa,1393311
335,zijmy,1459580
336,lhx,202058
337,biib,875045
338,syy,96021
339,pdypy,1627168
340,bk,1390777
341,ebay,1065088
342,ctsh,1058290
343,ahchy,1448987
344,aig,5272
345,lyg,1160106
346,ecify,1387438
347,mchp,827054
348,lulu,1397187
349,ph,76334
350,sxyay,1575851
351,cmg,1058090
352,mfg,1335730
353,bbd,1160330
354,tal,1499620
355,aptv,1521332
356,veev,1393052
357,docu,1261333
358,tt,1466258
359,trow,1113169
360,cmi,26172
361,ovchy,1448817
362,rblx,1315098
363,sre,1032208
364,aph,820313
365,bili,1723690
366,jshly,879875
367,spg,1063761
368,slb,87347
369,htht,1483994
370,trv,86312
371,dlr,1297996
372,vonoy,1652630
373,info,1598014
374,hpq,47217
375,a,1090872
376,cnc,1071739
377,gold,756894
378,bbva,842180
379,ea,712515
380,lu,1816007
381,gis,40704
382,svndy,1359519
383,vivhy,1127055
384,iqv,1478242
385,pru,1137774
386,luv,92380
387,kmi,1506307
388,psx,1534701
389,vwdry,1330306
390,elp,1041792
391,lgfry,1554394
392,mtcpy,1159204
393,cdns,813672
394,carr,1783180
395,crh,849395
396,cnq,1017413
397,chwy,1766502
398,lyb,1489393
399,pxd,1038357
400,gwlly,1536278
401,ctva,1755672
402,afl,4977
403,mpc,1510295
404,gvdny,1121631
405,chcjy,1495687
406,ctas,723254
407,ppg,79879
408,hcmly,948696
409,ttd,1671933
410,w,1616707
411,snps,883241
412,payx,723531
413,hlt,1585689
414,crbjy,1454471
415,khngy,1451287
416,orly,898173
417,iff,51253
418,disca,1437107
419,all,899051
420,msci,1408198
421,xel,72903
422,su,311337
423,oaofy,1058255
424,rht,1087423
425,alc,1167379
426,zg,1617640
427,zbh,1136869
428,stm,932787
429,alxn,899866
430,dxcm,1093557
431,oran,1038143
432,cmaky,1453056
433,tdg,1260221
434,nwg,844150
435,clpby,1294325
436,ibkr,1381197
437,ntr,1725964
438,pcar,75362
439,yum,1041061
440,csgp,1057352
441,hsy,47111
442,amady,1502104
443,pton,1639825
444,cjpry,1334687
445,ccl,815097
446,mrvl,1058057
447,glw,24741
448,adm,7084
449,swk,93556
450,cs,1159510
451,poahy,1450346
452,panw,1327567
453,kbcsy,1411133
454,arzgy,1379235
455,vfc,103379
456,dal,27904
457,ckhuy,1637120
458,msi,68505
459,asazy,1253493
460,vips,1529192
461,wit,1123799
462,xlnx,743988
463,codyy,1012037
464,alpmy,1446390
465,rsg,1060391
466,bby,764478
467,dhi,882184
468,slf,1097362
469,bgne,1651308
470,gelyy,1474968
471,rlx,1828365
472,cht,1132924
473,mck,927653
474,vlo,1035002
475,rok,1024478
476,sbac,1034054
477,dboey,1437147
478,lbrda,1611983
479,peg,788784
480,stt,93751
481,well,766704
482,ejpry,1093028
483,caj,16988
484,azo,866787
485,rdsmy,1339422
486,tyidy,1130894
487,ftnt,1262039
488,tdoc,1477449
489,frc,1132979
490,anss,1013462
491,dfs,1393612
492,len,920760
493,swks,4127
494,otis,1781335
495,rng,1384905
496,dkng,1772757
497,mt,1243429
498,rprx,1802768
499,wltw,1140536
500,ame,1037868
501,sivb,719739
502,cgemy,1084656
503,es,72741
504,kkr,1404912
505,edu,1372920
506,okta,1660134
507,wec,783325
508,tsn,100493
509,vrsk,1442145
510,u,1810806
511,wmb,107263
512,ec,1444406
513,mga,749098
514,fast,815556
515,fitb,35527
516,etsy,1370637
517,ashty,1518258
518,fmx,1061736
519,tu,868675
520,mplx,1552000
521,rmd,943819
522,trumy,1446672
523,wcn,1318220
524,mgddy,896076
525,odfl,878927
526,ctryy,1462886
527,etp-pc,1161154
528,sgen,1060736
529,ferg,1832433
530,kr,56873
531,amp,820027
532,xpev,1810997
533,bll,9389
534,eqr,906107
535,bfa,14693
536,dia,1041130
537,tef,814052
538,bsbr,1471055
539,mtd,1037646
540,mdy,936958
541,oxy,797468
542,cuk,1125259
543,db,1159508
544,cprt,900075
545,hrl,48465
546,expe,1324424
547,bntx,1776985
548,ddog,1561550
549,cbre,1138118
550,dltr,935703
551,yumc,1673358
552,egrny,1595085
553,rweoy,939380
554,avb,915912
555,yahoy,1446437
556,aonny,1300175
557,wy,106535
558,zlndy,1638747
559,dte,936340
560,siri,908937
561,awk,1410636
562,keys,1601046
563,unicy,1095054
564,zs,1713683
565,ed,1047862
566,foxa,1754301
567,gwlif,850918
568,tscdy,885834
569,zbra,877212
570,zto,1677250
571,rci,733099
572,saxpy,1436778
573,li,1791706
574,hig,874766
575,grmn,1121788
576,cabhf,1436647
577,ndaq,1120193
578,otsky,1544613
579,mxim,743316
580,syf,1601712
581,fojcy,1436740
582,fnv,1456346
583,gasny,1269920
584,abc,1140859
585,ajg,354190
586,work,1764925
587,ccep,1650107
588,mtsfy,1446641
589,tlk,1001807
590,svnly,1448613
591,weicy,1452191
592,lh,920148
593,flt,1175454
594,clx,21076
595,yndx,1513845
596,bkr,1701605
597,nok,924613
598,rcl,884887
599,mkc,63754
600,o,726728
601,ftv,1659166
602,are,1035443
603,ppl,922224
604,exas,1124140
605,plug,1093691
606,eix,827052
607,uri,1067701
608,gctay,1158089
609,payc,1590955
610,pcg,1004980
611,ssmxy,1517231
612,cdw,1402057
613,xp,1787425
614,net,1477333
615,gbery,1179029
616,ix,1070304
617,cern,804753
618,ftch,1740915
619,vrsn,1014473
620,baesy,895564
621,ryaay,1038683
622,iq,1722608
623,vmc,1396009
624,splk,1353283
625,smnny,1640117
626,anet,1596532
627,qs,1811414
628,sgsoy,1069347
629,kmx,1170010
630,gmab,1434265
631,et,1276187
632,ui,1511737
633,oke,1039684
634,cncn,1191334
635,wdc,106040
636,fms,1333141
637,szkmy,1263521
638,iac,1800227
639,ntrs,73124
640,epam,1352010
641,cghly,1550635
642,hubs,1404655
643,nue,73309
644,efx,33185
645,cicoy,1445161
646,cqp,1383650
647,lyft,1759509
648,akzoy,3124
649,umc,1033767
650,tlpfy,1450682
651,ip,51434
652,cnhi,1567094
653,hes,4447
654,gww,277135
655,gib,1061574
656,sbhmy,1604982
657,enph,1463101
658,k,55067
659,stne,1745431
660,thlly,1722401
661,gsx,1768259
662,wst,105770
663,cha,1191255
664,haity,1553473
665,ir,1699150
666,vtr,740260
667,burl,1579298
668,qrvo,1604778
669,pkx,889132
670,ksu,54480
671,chd,313927
672,fts,1666175
673,rf,1281761
674,tsco,916365
675,hznp,1492426
676,mlm,916076
677,aee,1002910
678,hpe,1645590
679,afrm,1820953
680,fandy,1454175
681,qsr,1618756
682,key,91576
683,nmr,1163653
684,dish,1001082
685,etr,65984
686,ttwo,946581
687,rnecy,1246135
688,dov,29905
689,ztcoy,1445156
690,mktx,1278021
691,hal,45012
692,ual,100517
693,txg,1770787
694,mgm,789570
695,mtb,36270
696,imbby,1072670
697,gnrc,1474735
698,ter,97210
699,zi,1794515
700,nrily,1179493
701,xngsy,1454948
702,ppccy,1446747
703,cfg,759944
704,coo,711404
705,mdb,1441816
706,trmb,864749
707,tfx,96943
708,fe,1031296
709,czr,1590895
710,holx,859737
711,cag,23217
712,xyl,1524472
713,lyv,1335258
714,penn,921738
715,ucbjy,1290640
716,frrvy,1438571
717,caixy,1535628
718,nvzmy,1131345
719,ulta,1403568
720,coup,1385867
721,lng,3570
722,ctlt,1596783
723,snmry,1437771
724,ess,920522
725,alsmy,1062066
726,cvac,1809122
727,ssnc,1402436
728,vtrs,1792044
729,dri,940944
730,xm,1747748
731,alb,915913
732,tlsny,1169870
733,wpm,1323404
734,imo,49938
735,amcr,1748790
736,aes,874761
737,expd,746515
738,suz,909327
739,incy,879169
740,chu,1113866
741,kb,1445930
742,invh,1687229
743,stx,1137789
744,hdely,1400691
745,logi,1032975
746,podd,1145197
747,cinf,20286
748,cah,721371
749,jbht,728535
750,bio,12208
751,peak,765880
752,lsxma,1560385
753,tyl,860731
754,gpc,40987
755,br,1383312
756,wat,1000697
757,tw,1758730
758,alny,1178670
759,cms,811156
760,nvax,1000694
761,lb,701985
762,ce,1306830
763,ally,40729
764,futu,1754581
765,wmg,1319161
766,dgx,1022079
767,tru,1552033
768,sgioy,1281721
769,exr,1289490
770,avtr,1722482
771,sui,912593
772,rol,84839
773,bpy,1545772
774,sonvy,1450681
775,atus,1702780
776,nipnf,72127
777,snn,845982
778,pba,1546066
779,on,1097864
780,prdsy,1527249
781,rjf,720005
782,pfg,1126328
783,asx,1122411
784,omc,29989
785,chkp,1015922
786,ctxs,877890
787,hban,49196
788,maa,912595
789,nvr,906163
790,bxp,1037540
791,shg,1263043
792,whlkf,1449594
793,akam,1086222
794,it,749251
795,var,203527
796,hei,46619
797,iau,1278680
798,syiey,1444718
799,wix,1576789
800,gds,1526125
801,skm,1015650
802,tif,98246
803,j,52988
804,ste,1757898
805,fujhy,800364
806,aal,6201
807,cve,1475260
808,open,1801169
809,wpp,806968
810,lumn,18926
811,bip,1406234
812,nwsa,1564708
813,pags,1712807
814,wynn,1174922
815,mpwr,1280452
816,atasy,1437775
817,szlmy,1438844
818,ntap,1002047
819,zlioy,1546084
820,ckisy,1065989
821,clvt,1764046
822,mkl,1096343
823,argx,1697862
824,maruy,801645
825,grfs,1438569
826,dre,783280
827,dvn,1090012
828,zen,1463172
829,emn,915389
830,nngry,1690981
831,ptc,857005
832,lbtya,1570585
833,iex,832101
834,jxhly,1487533
835,ben,38777
836,cpb,16732
837,ttm,926042
838,vici,1705696
839,swgay,1438845
840,tech,842023
841,znh,1041668
842,dqjcy,1446597
843,avy,8818
844,acgl,947484
845,pubgy,1050952
846,agr,1634997
847,aem,2809
848,gh,1576280
849,mas,62996
850,elan,1739104
851,gdrx,1809519
852,tsgty,939383
853,nvcr,1645113
854,sedg,1419612
855,cjewy,1555574
856,nice,1003935
857,pki,31791
858,dt,1773383
859,kkpny,1001474
860,sqm,909037
861,tdy,1094285
862,wab,943452
863,crl,1100682
864,fmc,37785
865,bmrn,1048477
866,eqh,1333986
867,iep,813762
868,dpz,1286681
869,uwmc,1783398
870,tuya,1829118
871,jbaxy,1475011
872,viv,1066119
873,entg,1101302
874,cgnx,851205
875,abmd,815094
876,l,60086
877,fico,814547
878,sjm,91419
879,monoy,1583055
880,xray,818479
881,kep,887225
882,wsm,719955
883,sbny,1288784
884,ophly,940821
885,whr,106640
886,pool,945841
887,fang,1539838
888,hwm,4281
889,wrk,1732845
890,alfvy,863344
891,ibrx,1326110
892,moh,1179929
893,gme,1326380
894,sam,949870
895,szsay,1444147
896,otex,1002638
897,evrg,1711269
898,ldos,1336920
899,sbysf,1783546
900,sjr,932872
901,rnlsy,1416039
902,sbsw,1786909
903,cnpay,1450278
904,ppd,1793294
905,has,46080
906,osh,1564406
907,cck,1219601
908,cgasy,1555207
909,ranjy,1112439
910,ts,1190723
911,psmmy,1439580
912,cgc,1737927
913,smg,825542
914,yasky,1559460
915,phm,822416
916,ednmy,1581671
917,lkq,1065696
918,bntgy,1533945
919,wrb,11544
920,ndeky,353991
921,xyigy,1508669
922,ndvly,800928
923,chrw,1043277
924,cg,1527166
925,mhk,851968
926,teva,818686
927,nuan,1002517
928,cxo,1358071
929,chgg,1364954
930,lnt,352541
931,udr,74208
932,gddy,1609711
933,jhx,1159152
934,umicy,1477038
935,dvcmy,1163417
936,bro,79282
937,mtuay,1342237
938,smtoy,95227
939,mos,1285785
940,mtn,812011
941,ntco,1776967
942,athm,1527636
943,ihg,858446
944,fbhs,1519751
945,txt,217346
946,cday,1725057
947,ffiv,1048695
948,aeoxf,1450280
949,enia,912505
950,bill,1786352
951,cna,21175
952,zlab,1704292
953,nly,1043219
954,smmyy,1551402
955,xpo,1166003
956,coihy,1513977
957,pkg,75677
958,tpr,1116132
959,mpw,1287865
960,hst,1070750
961,bch,1161125
962,smfky,1537547
963,kikoy,1446656
964,cree,895419
965,nlok,849399
966,amigy,1438930
967,tpl,1811074
968,cnp,1130310
969,wpc,1025378
970,lnc,59558
971,masi,937556
972,iktsy,1444714
973,ato,731802
974,cea,1030475
975,aap,1158449
976,siely,1453732
977,sna,91440
978,gjnsy,1531384
979,dva,927066
980,ggdvy,925428
981,uhal,4457
982,fosuy,1462456
983,kotmy,1543727
984,wb,1595761
985,bsac,1027552
986,fds,1013237
987,pwr,1050915
988,bhc,885590
989,erie,922621
990,ndsn,72331
991,wlk,1262823
992,stbfy,1587200
993,ggg,42888
994,bwa,908255
995,bap,1001290
996,dar,916540
997,uhs,352915
998,ivz,914208
999,abmrf,1784384
1000,rmyhy,1636804
1001,gps,39911
1002,lw,1679273
1003,ipg,51644
1004,cchgy,1558633
1005,els,895417
1006,avlr,1348036
1007,shmay,1555379
1008,lpla,1397911
1009,bki,1627014
1010,ozon,1822829
1011,bsy,1031308
1012,gl,320335
1013,fnf,1331875
1014,rpm,110621
1015,qgen,1015820
1016,vedl,1370431
1017,lii,1069202
1018,ipgp,1111928
1019,jkhy,779152
1020,run,1469367
1021,frfhf,915191
1022,japsy,318269
1023,cx,1076378
1024,rgen,730272
1025,emraf,1127248
1026,dbx,1467623
1027,iliay,1570932
1028,ttc,737758
1029,nwl,814453
1030,ewbc,1069157
1031,ahexy,1446251
1032,five,1177609
1033,bah,1443646
1034,apo,1411494
1035,curlf,1756770
1036,bg,1144519
1037,cboe,1374310
1038,nclh,1513761
1039,alle,1579241
1040,bep,1533232
1041,aos,91142
1042,fivn,1288847
1043,kc,1795589
1044,agco,880266
1045,tap,24545
1046,teck,886986
1047,oled,1005284
1048,znga,1439404
1049,gfl,1780232
1050,rh,1528849
1051,lea,842162
1052,appn,1441683
1053,ipxhy,1309035
1054,wynmy,1480134
1055,shcay,800840
1056,cabo,1632127
1057,pltk,1828016
1058,cpt,906345
1059,wish,1822250
1060,dox,1062579
1061,dnb,1799208
1062,mcfe,1783317
1063,trex,1069878
1064,wtrg,78128
1065,kof,910631
1066,cheoy,1453930
1067,irm,1020569
1068,bbio,1743881
1069,lad,1023128
1070,hrgly,1528651
1071,efgsy,1445153
1072,fnd,1507079
1073,morn,1289419
1074,bfam,1437578
1075,ach,1161611
1076,amh,1562401
1077,aeg,769218
1078,azpn,929940
1079,dlb,1308547
1080,wal,1212545
1081,aseky,1450206
1082,pnr,77360
1083,wu,1365135
1084,cf,1324404
1085,crsp,1674416
1086,estc,1707753
1087,levi,94845
1088,mgp,1656936
1089,hubb,48898
1090,stld,1022671
1091,mlco,1381640
1092,rdy,1135951
1093,armk,1584509
1094,lazr,1758057
1095,wilyy,1436673
1096,afg,1042046
1097,mmp,1126975
1098,wso,105016
1099,clpxy,1490083
1100,st,1477294
1101,iclr,1060955
1102,glpi,1575965
1103,re,1095073
1104,mksi,1049502
1105,kss,885639
1106,pen,1321732
1107,jazz,1232524
1108,mdiby,1379481
1109,ua,1336917
1110,prah,1613859
1111,cma,28412
1112,uelmo,100826
1113,fhn,36966
1114,deck,910521
1115,oc,1370946
1116,pega,1013857
1117,pcty,1591698
1118,reg,910606
1119,ath,1527469
1120,hsic,1000228
1121,sklz,1801661
1122,lnegy,1437041
1123,ccozy,1398879
1124,aqn,1174169
1125,wex,1309108
1126,cold,1455863
1127,clr,732834
1128,nlsn,1492633
1129,rdeiy,1438654
1130,magoy,1437144
1131,ubsfy,1446702
1132,yy,1530238
1133,kl,1713443
1134,lamr,1090425
1135,ssl,314590
1136,cbsh,22356
1137,iaugy,1206571
1138,ni,1111711
1139,rs,861884
1140,bldr,1316835
1141,nfe,1749723
1142,chdn,20212
1143,zion,109380
1144,axon,1069183
1145,upst,1647639
1146,acsay,1448375
1147,brkr,1109354
1148,vno,899689
1149,cms-pb,201533
1150,klycy,1449614
1151,au,1067428
1152,ebr,1439124
1153,acm,868857
1154,mrvi,1823239
1155,pnw,764622
1156,midd,769520
1157,atr,896622
1158,nrg,1013871
1159,mrtx,1576263
1160,ksryy,1668501
1161,ysg,1819580
1162,jll,1037976
1163,ntra,1604821
1164,aci,1646972
1165,rp,1286225
1166,rohcy,1442653
1167,sgpyy,1253494
1168,oukpy,1436786
1169,rl,1037038
1170,asgly,7646
1171,flex,866374
1172,sid,1049659
1173,sommy,1409236
1174,agnc,1423689
1175,y,775368
1176,amed,896262
1177,iphi,1160958
1178,alk,766421
1179,ver,1507385
1180,bynd,1655210
1181,kgc,701818
1182,surry,1556607
1183,seic,350894
1184,slfpy,1370418
1185,gbtc,1588489
1186,gfi,1172724
1187,mro,101778
1188,fslr,1274494
1189,stor,1538990
1190,nbix,914475
1191,h,1468174
1192,tokuy,1131652
1193,ugi,884614
1194,cien,936395
1195,gwre,1528396
1196,jsgry,1442656
1197,rga,898174
1198,rhi,315213
1199,glob,1557860
1200,gntx,355811
1201,angi,1705110
1202,fate,1434316
1203,warfy,901684
1204,grpty,1395167
1205,ohi,888491
1206,jef,96223
1207,usfd,1665918
1208,abcl,1703057
1209,vst,1692819
1210,xlrn,1280600
1211,pso,938323
1212,rare,1515673
1213,shwgy,1505223
1214,nyt,71691
1215,csl,790051
1216,dseey,1481045
1217,zayo,1608249
1218,aiz,1267238
1219,sci,89089
1220,dnfgy,1454473
1221,slv,1330568
1222,pii,931015
1223,cae,1173382
1224,tdhoy,1288098
1225,rnr,913144
1226,tiscy,773917
1227,hegiy,1449217
1228,osk,775158
1229,ares,1176948
1230,smar,1366561
1231,jnpr,1043604
1232,lspd,1823306
1233,ggb,1073404
1234,sc,1580608
1235,phys,1477049
1236,cone,1553023
1237,alv,1034670
1238,wfg,1402388
1239,kim,879101
1240,arw,7536
1241,nvta,1501134
1242,fsly,1517413
1243,tpx,1206264
1244,trip,1526520
1245,fvrr,1762301
1246,cpri,1530721
1247,cib,1071371
1248,g,1398659
1249,synh,1610950
1250,prymy,1437672
1251,ehc,785161
1252,arcc,1287750
1253,apps,317788
1254,hii,1501585
1255,clf,764065
1256,asomy,1492075
1257,tho,730263
1258,bepc,1791863
1259,bmbl,1830043
1260,aer,1378789
1261,spce,1706946
1262,mp,1801368
1263,isuzy,763665
1264,fcnca,798941
1265,bery,1378992
1266,voya,1535929
1267,eeft,1029199
1268,furcf,1559444
1269,asnd,1612042
1270,krc,1025996
1271,bc,14930
1272,frt,34903
1273,atdry,1647435
1274,casy,726958
1275,jbl,898293
1276,site,1650729
1277,icl,941221
1278,plan,1540755
1279,ions,874015
1280,wwd,108312
1281,itt,216228
1282,mbt,1115837
1283,wes,1423902
1284,gtbif,1795139
1285,tixt,1825155
1286,manh,1056696
1287,uthr,1082554
1288,pbct,1378946
1289,knx,1492691
1290,bmrry,1671235
1291,sjmhy,1599962
1292,ai,1577526
1293,pvh,78239
1294,shpmy,1570300
1295,dnli,1714899
1296,dci,29644
1297,rdfn,1382821
1298,pfgc,1618673
1299,mstr,1050446
1300,nnn,751364
1301,kajmy,1446660
1302,cfr,39263
1303,vlpny,1378984
1304,trgp,1389170
1305,bldp,1453015
1306,iaa,1745041
1307,cube,1298675
1308,leco,59527
1309,apa,1841666
1310,wms,1604028
1311,vac,1524358
1312,pfpt,1212458
1313,shc,1822479
1314,exel,939767
1315,hmtly,353990
1316,mat,63276
1317,hbi,1359841
1318,che,19584
1319,tx,1342874
1320,tcf,19612
1321,roymy,1592438
1322,iivi,820318
1323,an,350698
1324,dks,1089063
1325,colm,1050797
1326,dooo,1748797
1327,cog,858470
1328,expi,1495932
1329,omf,1584207
1330,vrt,1674101
1331,hrc,47518
1332,dxc,1688568
1333,flir,354908
1334,snv,18349
1335,pb,1068851
1336,stwd,1465128
1337,tfii,1588823
1338,ccj,1009001
1339,paas,771992
1340,crcby,1553915
1341,bgaoy,1325378
1342,aval,1504764
1343,woof,1826470
1344,bncdy,1667075
1345,arwr,879407
1346,shtdy,1556605
1347,amc,1411579
1348,pe,1594466
1349,ttek,831641
1350,chng,1756497
1351,mnso,1815846
1352,see,1012100
1353,cciv,1811210
1354,itvpy,1283708
1355,rgld,85535
1356,htcmy,1446648
1357,ffin,36029
1358,suopy,1347141
1359,cnxc,1803599
1360,tgtx,1001316
1361,lpl,1290109
1362,dada,1793862
1363,axta,1616862
1364,rtmvy,1516536
1365,post,1530950
1366,vir,1706431
1367,mtz,15615
1368,psxp,1572910
1369,four,1794669
1370,sf,720672
1371,pnfp,1115055
1372,plnt,1637207
1373,byd,906553
1374,bld,1633931
1375,paa,1070423
1376,nxst,1142417
1377,kod,1468748
1378,jwn,72333
1379,tol,794170
1380,bokf,875357
1381,azek,1782754
1382,coty,1024305
1383,txrh,1289460
1384,mituy,1446420
1385,ori,74260
1386,clzny,1366235
1387,rykky,1592049
1388,jblu,1158463
1389,srpt,873303
1390,nvst,1757073
1391,aacay,1447647
1392,rcm,1472595
1393,pag,1019849
1394,felty,1447250
1395,adt,1703056
1396,gwph,1351288
1397,yeti,1670592
1398,fsv,1637810
1399,wf,1264136
1400,chpt,1777393
1401,mpfry,1417695
1402,rexr,1571283
1403,skx,1065837
1404,ovv,1792580
1405,csan,1430162
1406,shmuy,1564228
1407,hllgy,1674534
1408,lfus,889331
1409,frpt,1611647
1410,hun,1307954
1411,bsmx,1698287
1412,oge,1021635
1413,tmx,1428875
1414,pacb,1299130
1415,wrtby,1436771
1416,slab,1038074
1417,bl,1666134
1418,cdk,1609702
1419,wh,1722684
1420,airc,1820877
1421,avir,1593899
1422,tkr,98362
1423,gwr,1012620
1424,brks,933974
1425,son,91767
1426,lsi,944314
1427,cakfy,1446707
1428,amg,1004434
1429,twst,1581280
1430,xec,1168054
1431,lstr,853816
1432,lite,1633978
1433,cohr,21510
1434,oln,74303
1435,caci,16058
1436,rba,1046102
1437,cd,1807192
1438,leg,58492
1439,allk,1564824
1440,reyn,1786431
1441,ogfgy,845033
1442,gil,1061894
1443,msa,66570
1444,oscr,1568651
1445,ncno,1566895
1446,vopky,1452188
1447,pac,1347557
